август: августа
некоммерческий: некоммерческой
немаловажный: немаловажную
несообразность: несообразность
новелла: новелле новелл
новый: новые
ночное: ночных
ноябрь: ноября
об: об
обращение: обращения
обсуждение: обсуждение
обязать: обязанная
огромный: огромных
огюст: огюст
один: одного
одноименный: одноименном
означать: означающая
ок: ок
октябрь: октября
они: ими
описание: описание описанием
описывать: описывает
описываться: описывается
опытный: опытными
организация: организации
орел: орла
особенно: особенно
ответственность: ответственности
отдельный: отдельных
отказ: отказ
отличаться: отличаться
отправиться: отправиться
отредактировать: отредактирована
очень: очень
ошибка: ошибке
первое: первым
перейти: перейти
переносить: переносящий
переть: при пер
перо: перьев
персонаж: персонажи
персональный: персональные
печать: печати
писатель: писателя
поведение: поведения
поговорка: поговорка
подробный: подробнее
пожертвовать: пожертвовать
позаимствовать: позаимствовал
позапрошлый: позапрошлом
поиск: поиск поиску
пока: пока
политик: политика
полуворон: полуворон
полугрифон: полугрифон
полуконь: полуконь
полуолень: полуолень
получить: получить
понятие: понятие
популярный: популярным
порой: порой
последний: последняя последний
постоянный: постоянная
поттер: поттер поттере
почтить: почти
поэма: поэме
правдивый: правдивой
править: править
правка: правок правка правки
правящий: правящие
предок: предки
представиться: представились
прекрасный: прекрасную
признать: признать
примечание: примечания
присутствовать: присутствует
про: про
проверить: проверенной
проверка: проверки
проверяться: проверялась
проект: проектах
произведение: произведении
происхождение: происхождением
просмотр: просмотры
пространство: пространства
противник: противника
прошлый: прошлое
птица: птицы
путешествие: путешествий
размер: размеров
разработчик: разработчики
ранний: ранние
ребенок: дети
решить: решили
рисовать: рисовал
роланда: роланд
роль: роль
руджьер: руджьер
русский: русского русский
рыцарский: рыцарской
рыцарь: рыцарь
сантиметр: см
сведение: сведения
свежий: свежие
света: света
свободный: свободной
свое: своих
свойство: свойство
связанный: связанные
связаться: свяжитесь
сезон: сезона
сериал: сериала
серия: серии
синоним: синоним
система: системе
сказать: сказать
сказочный: сказочную
скачать: скачать
скрестить: скрестить
скрытый: скрытые
следовать: следует
следующий: следующий
служебный: служебные
случай: случаях
случайный: случайная
собирать: собирающего
событие: события
современный: современного
согласно: согласно
содержание: содержание
создать: создать
сообщество: сообщество
сообщить: сообщить
сохранение: сохранением
сочетать: сочетает
спасать: спасает
способный: способен
справка: справка
српски: српски
ссылка: ссылка ссылки
статистика: статистика
стать: стал
статья: статья статьи
страна: страну
страница: страницы страница страницу странице
странствовать: странствующий
существо: существо существ
существовать: существовала
сюда: сюда
сюжет: сюжету
также: также
талант: талантов
тануноко: тануноко
таро: таро
текст: текст
текущий: текущие текущая
тереть: три
тип: тип
товарный: товарном товарный
толкование: толкование
толща: толще
тот: те
требовать: требуют
тревер: тревер
увозить: увозит
уж: ужа
узник: узник
указание: указанием
упоминание: упоминания
упоминаться: упоминаются
условие: условий условия
участие: участие
участник: участниками
ф: ф
февраль: февраля
фильм: фильме фильма фильмы
фольклор: фольклор
фонд: фонд
форум: форум
фрагмент: фрагмент
хигасидэ: хигасидэ
хорх: хорхе
цитировать: цитировать
часто: часто
черта: черты
читать: читать
чтобы: чтобы
чудо: чудо
чудовище: чудовища
э: э
эквестрию: эквестрию
элемент: элемент
эльф: эльфов
энгр: энгр
энциклопедия: энциклопедия энциклопедии
это: этом это
этот: этих эта
юитиро: юитиро
язык: языках
