автор: автора автор
авторство: авторства
иной: иных
инструмент: инструменты
интеллект: интеллектом
инцидент: инцидентом
ирландский: ирландским
исключительно: исключительно
искусать: искусает
искусство: искусств
использование: использования
история: история
источник: источниках источникам источник
йон: йон
каждый: каждая
кажется: кажется
каменный: каменные
категория: категории
качаться: качаются
кельтский: кельтское
классификация: классификация
клуб: клуб
книга: книг книгах книги книге
ко: ко
кобой: кобой
код: код
кодекс: кодекс
колфер: колфер
комната: комната
компания: компаниями
конфиденциальность: конфиденциальности
копия: копия
корнуолл: корнуолл
корнуолльский: корнуолльские корнуолльское
коровий: коровьей
короткий: короткий
кость: кости
который: которое которых
красивый: красивых
красть: крадут
краули: краули
крест: крест
крещение: крещения
кровь: крови
кроме: кроме
крошечный: крошечное
круг: круги
крупный: крупных
крыло: крыльями крыльев
крылышко: крылышки крылышками
кук: куки
культовый: культовые
культура: культуре культурах
курган: курганы
куртка: куртку
лгать: лгать
лепетать: лепечут
лепрекон: лепрекон
лепреконы: лепреконы
лес: лесу леса лес
летать: летать
лицензия: лицензии
личико: личиком
личностный: личностные
локонс: локонс
лошадь: лошадей
любить: любят любимая
любовь: любовью
люциусу: люциусу
магический: магическую
магия: магии магией
мак: мак
маленький: маленький маленьких маленькие
марипоса: марипоса
массовый: массовой
материал: материал материалы
мая: мая
медиафайлы: медиафайлы
менгир: менгиры
мерлин: мерлин
местность: местность
местный: местных местными
место: места
метр: метра
милая: милых
министерство: министерства
мир: мира мир миром мире
миф: мифов мифы
мифический: мифическое мифические
мифологический: мифологической мифологические
мифология: мифологии мифология
много: более
мобильный: мобильная
могила: могилами
мочь: можете могут
мультфильм: мультфильме
мы: нами
мэтт: мэтт
навигация: навигации навигация
надоедать: надоедает
наизнанку: наизнанку
нак: нак
нарисовать: нарисованы
народ: народов
народец: народец
народный: народными
населять: населяют
небольшой: небольшими
невинный: невинным
нежный: нежным
некоммерческий: некоммерческой
некоторые: некоторым некоторые
необыкновенный: необыкновенно
несколько: нескольких
несмотря: несмотря
неспособность: неспособность
низкорослый: низкорослы
никогда: никогда
ниссе: ниссе
новый: новые
ноз: ноз
ночь: ночь
ноябрь: ноября
об: об
обитание: обитания
обладать: обладаете обладающих обладает
обращать: обращать
обсуждение: обсуждение
общий: общим
обычно: обычно
один: одна одними
однако: однако
озорны: озорны
около: около
они: им них ними
опала: опал
описание: описание
описывать: описывает
описываться: описываются
опытный: опытными
организация: организации
особенно: особенно
оставлять: оставляют
остальное: остальных
ответственность: ответственности
отдельный: отдельных
отказ: отказ
открыть: открытом
отличаться: отличаться
отличительный: отличительной отличительные
отмечаться: отмечается
отнести: отнести
отравить: отравленным отравлен
отредактировать: отредактирована
отчего: отчего
охотник: охотнику
очень: очень
ошибка: ошибке
пак: пак
параллель: параллели
первое: первом
перевод: перевод перевода
переиграть: переиграть
перейти: перейти
переть: при
период: период
персонаж: персонажи
персональный: персональные
печать: печати
пикси: пикси
плоский: плоский плоском
поведение: поведение поведения
поверье: поверьям
погром: погром
подвесить: подвесить
подмена: подмена
подробный: подробнее
пожертвовать: пожертвовать
позапрошлый: позапрошлом
позвать: позовут
поиск: поиск поиску
пока: пока
показать: показать
поколение: поколениях
политик: политика
полный: полная
получить: получить
помогать: помогают
помочь: помочь
помощник: помощников
помощь: помощью
понять: понять
попасть: попавших
последний: последняя последний
постоянный: постоянная
поттер: поттер поттера поттере
похожий: похожее похожи похожими
почтить: почти
появляться: появлялись
правда: правда правду
править: править
правка: правок правка правки
праздник: праздниками
пратчетта: пратчетта
предание: преданиях
представить: представлены
представиться: представились
признак: признаки
примечание: примечания
приписка: приписка
пристрастие: пристрастия
про: про
проверить: проверенной
проверка: проверки
проверяться: проверялась
прогнать: прогнать
проект: проектах проекту
произведение: произведениях произведению
происходить: происходит
происхождение: происхождение
проказа: проказ проказам
просмотр: просмотры
пространство: пространства
противозаклятия: противозаклятия
прочий: прочих
прятаться: прячутся
пугать: пугают
пустошь: пустошах
путешественник: путешественников
путник: путников
пытаться: пытайтесь
работа: работа работу
разбежаться: разбежавшиеся
раздел: разделе
разновидность: разновидностью разновидность разновидности
разработчик: разработчики
распространенность: распространенность
рассказов: рассказов
расширить: расширив
рая: рай
ребенок: детей
ребячливый: ребячливы
региональный: региональных
рисунок: рисунок
родственный: родственные
розыгрыш: розыгрышам
роман: романе
рост: рост ростом
рот: рот
роулинг: роулинг
рука: руку
русский: русский
сам: самом сами
самоназвание: самоназвание
самый: самый самая самых самые
сантиметр: см
сбивать: сбивать
сборник: сборнике
сведение: сведения
свежий: свежие
свободный: свободной свободный
свое: свое своего
свой: своей
свойство: свойством свойство
связанный: связанные связана
связаться: свяжитесь
связь: связь
сезон: сезона
секретный: секретные
семь: семь
семья: семьи
сериал: сериале
серия: серии
сзади: сзади
сида: сиды
сидам: сидам
сильф: сильф
система: системе
ситуация: ситуации
сказать: скажет
скачать: скачать
скрытый: скрытые
слабый: слабых
следовать: следует
следующий: следующим
служебный: служебные
случай: случае случаях
случайный: случайная
смедберга: смедберга
смертельный: смертельных
смочь: сможет
снежинка: снежинка
собираться: собираться
собрать: собрать
событие: события
согласно: согласно
содержание: содержание
создание: создания создание
создать: создать
солгать: солгать
сообщество: сообщество
сообщить: сообщить
соседствовать: соседствует
сохранение: сохранением
способ: способ
справка: справка
справляться: справляется
спросить: спросить
среди: среди
средневековый: средневековый
ссылка: ссылка ссылки
статистика: статистика
стать: стал
статья: статью статья статьи
степень: степени
стр: стр
страница: страницы страница страницу странице
суп: супом суп
существо: существо существ существа
существовать: существуют
считаться: считается считаются
сюда: сюда
тайный: тайная
также: также
такой: такую такими такие
танцевать: танцевать
текст: текст текста
текущий: текущие текущую текущая
тенистый: тенистого тенистом тенистый
тень: тень
термин: термина
терри: терри
тесно: тесно
тип: тип
товарный: товарный
тот: ту
травить: травит
традиционный: традиционных
требовать: требуют
троллей: троллей
убить: убить
удобный: удобном
указание: указанием
указать: указано
указывать: указывает
улыбка: улыбка
умерший: умерших
уметь: умеют
умный: умную умны
упоминать: упоминаемым
урок: уроке
условие: условий условия
ухаживать: ухаживают
ухо: уши
участие: участие
участник: участниками
учинять: учиняют
ушко: ушками
фамилия: фамилия
фантастический: фантастические
фаула: фаула
фауле: фауле
феечек: феечек
фест: фест
фея: феи фей феями
фиглов: фиглов
фильм: фильме
фольклор: фольклор фольклора
фонд: фонд
форум: форум
характерный: характерные
хейг: хейг
хитрый: хитры
холли: холли
хулиган: хулиганы
ххххххх: ххххххх
цвет: цвета
цвета: цветы
целый: целей целом
цитировать: цитировать
частность: частности
часто: часто
часть: часть
человек: человека людей
черта: чертой черты
чистый: чистым
читать: читать
чтобы: чтобы
шалость: шалостей
школа: школа
шоколад: шоколад
шотландский: шотландским
экранизация: экранизации
электрик: электрик
элемент: элемент
эльф: эльфов эльфы
эми: эми
энциклопедия: энциклопедии
это: это
этот: эта
являться: является являются
язык: языках
языковой: языковом
язычник: язычников
